,dipole
328,CNC(=O)C(=[NH+][C-](C(=O)OC)C(=O)OC)C(=O)NC
329,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(C)=O)C(C)=O
330,COC(=O)C(=[O+][CH-]C#N)c1ccccc1
331,CNC(=O)C(C(=O)NC)=[N+](C)[N-]C#N
332,CC(=O)N=[NH+][O-]
333,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(C)=O)C(C)=O
334,CC(=O)C(=[NH+][C-](C)C(C)=O)c1ccccc1
335,CC(C)=[O+][C-](C#N)C#N
336,CNC(=O)[C-](C)[N+](C)=C(C)c1ccccc1
337,CNC(=O)[C-](C(C)=O)[N+](C)=Cc1ccccc1
338,CC(C)=[N+](C)[CH-]c1ccccc1
339,CNC(=O)[CH-][NH+]=C(C#N)C(=O)NC
340,COC(=O)C(C(C)=O)=[N+](C)[CH-]C#N
341,COC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)c1ccccc1
342,CC(=O)C(C#N)=[NH+][O-]
343,CNC(=O)N=[NH+][NH-]
344,C[N-][NH+]=C(C(=O)NC)c1ccccc1
345,C=[O+][C-](C(=O)NC)C(=O)OC
346,CNC(=O)[C-]([NH+]=CC(C)=O)C(C)=O
347,COC(=O)C(C(C)=O)=[N+](C)[N-]C(C)=O
348,CNC(=O)C(C)=[O+][C-](C)C
349,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)C(C)=O
350,C=[O+][CH-]C(=O)OC
351,CNC(=O)[C-]([NH+]=C(C)C(=O)OC)C(=O)NC
352,CNC(=O)C=[N+](C)[N-]C(=O)OC
353,CNC(=O)C=[NH+][C-](C)C(=O)NC
354,CC(=O)C(C)=[NH+][N-]C#N
355,CC(=O)C(C)=[NH+][C-](c1ccccc1)c1ccccc1
356,CC=[N+](C)[CH-]C(=O)OC
357,CC(=O)C(C)=[O+][CH-]C#N
358,COC(=O)C=[N+](C)[N-]C(C)=O
359,COC(=O)[C-](C#N)[N+](C)=C(C#N)C#N
360,CNC(=O)C(=[NH+][N-]C(=O)OC)C(C)=O
361,CNC(=O)[N-][O+]=C(C)C(=O)NC
362,C[N-][N+](C)=C(C)C(C)=O
363,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C)C#N
364,CC(=O)C(=[O+][O-])C(C)=O
365,CC(=O)[C-](C)[NH+]=CC#N
366,CC(=O)[C-]([O+]=C(C#N)C#N)c1ccccc1
367,CNC(=O)[C-](C)[O+]=C(C)c1ccccc1
368,CNC(=O)C(=[NH+][CH-]c1ccccc1)c1ccccc1
369,CNC(=O)[C-](C)[O+]=C(C(C)=O)C(C)=O
370,CNC(=O)C(C(C)=O)=[N+](C)[O-]
371,C[CH-][N+](C)=C(C(=O)OC)c1ccccc1
372,CC(=O)C(C#N)=[O+][C-](C#N)C(C)=O
373,CNC(=O)[C-](C#N)[O+]=C(C(=O)OC)c1ccccc1
374,CC(=O)[C-](c1ccccc1)[N+](C)=C(C)c1ccccc1
375,CNC(=O)[N-][N+](C)=C(C(=O)OC)c1ccccc1
376,COC(=O)C(=[NH+][CH-]c1ccccc1)c1ccccc1
377,CC(=O)C(C#N)=[N+](C)[C-](C)c1ccccc1
378,CNC(=O)[C-](C)[N+](C)=C(C)C#N
379,CNC(=O)C(=[O+][N-]c1ccccc1)C(=O)OC
380,CNC(=O)C=[NH+][C-](C)C(=O)NC
381,C[CH-][N+](C)=C(C)C(C)=O
382,COC(=O)[C-](C)[O+]=C(C)c1ccccc1
383,CC=[N+](C)[N-]c1ccccc1
384,COC(=O)C(C)=[NH+][C-](C)C(=O)OC
385,CNC(=O)[C-](C#N)[O+]=CC(=O)OC
386,CN=[NH+][N-]C(=O)NC
387,CNC(=O)C(C(C)=O)=[N+](C)[N-]C(C)=O
388,COC(=O)[CH-][NH+]=C(C)c1ccccc1
389,COC(=O)C(=[NH+][N-]c1ccccc1)C(=O)OC
390,COC(=O)[N-][O+]=C(C#N)C(=O)OC
391,COC(=O)C(C#N)=[N+](C)[C-](C(C)=O)c1ccccc1
392,CC(=O)[C-]([O+]=Cc1ccccc1)C(C)=O
393,CC(=O)C(=[O+][C-](C)C#N)C(C)=O
394,CC(=O)[C-](C#N)[O+]=C(C)c1ccccc1
395,COC(=O)C=[N+](C)[C-](C(C)=O)c1ccccc1
396,CNC(=O)[C-](C)[NH+]=CC(C)=O
397,CNC(=O)C(c1ccccc1)=[N+](C)[N-]C(C)=O
398,COC(=O)C=[O+][N-]C(C)=O
399,CNC(=O)C=[NH+][O-]
400,CNC(=O)[C-](C#N)[NH+]=C(C)C(=O)OC
401,COC(=O)C=[NH+][C-](C#N)C(=O)OC
402,CNC(=O)C(C(=O)NC)=[N+](C)[CH-]C(C)=O
403,COC(=O)[N-][O+]=Nc1ccccc1
404,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)NC)c1ccccc1
405,CNC(=O)[N-][N+](C)=C(C(C)=O)C(=O)NC
406,CNC(=O)[C-]([NH+]=CC(C)=O)C(=O)NC
407,CNC(=O)C(=[O+][C-](C#N)C#N)c1ccccc1
408,CNC(=O)C(=[NH+][CH-]C#N)C(=O)NC
409,C[CH-][N+](C)=C(C(C)=O)C(C)=O
410,CC=[O+][N-]C(C)=O
411,CC(=O)[CH-][NH+]=C(C(C)=O)c1ccccc1
412,CC(C#N)=[O+][O-]
413,C[N-][N+](C)=C(C(=O)NC)C(=O)OC
414,CNC(=O)C(=[O+][N-]c1ccccc1)c1ccccc1
415,CNC(=O)[C-](C)[O+]=C(C)c1ccccc1
416,CNC(=O)C(=[NH+][NH-])C(=O)OC
417,CC(=O)C(C#N)=[NH+][N-]C#N
418,C=[N+](C)[CH-]C(C)=O
419,CNC(=O)C=[O+][C-](C#N)C(=O)OC
420,C[N-][NH+]=NC(=O)NC
421,CNC(=O)C(=[O+][C-](C(C)=O)C(=O)OC)C(=O)NC
422,CNC(=O)C(=[O+][N-]c1ccccc1)C(=O)OC
423,CNC(=O)C=[N+](C)[N-]c1ccccc1
424,CNC(=O)[C-](C)[NH+]=CC(C)=O
425,CNC(=O)[CH-][N+](C)=C(C(C)=O)C(=O)NC
426,CC(=O)C(C)=[NH+][O-]
427,CNC(=O)C(C)=[N+](C)[C-](C(=O)NC)c1ccccc1
428,COC(=O)N=[O+][N-]C#N
429,CNC(=O)[C-]([O+]=CC(C)=O)c1ccccc1
430,N#CC(=[NH+][CH-]c1ccccc1)c1ccccc1
431,CC(=O)[C-](C#N)[N+](C)=C(C#N)c1ccccc1
432,COC(=O)C=[O+][CH-]C(=O)OC
433,COC(=O)C(C)=[O+][C-](C)C(=O)OC
434,C=[NH+][C-](C)C(=O)OC
435,CC(=O)[N-][N+](C)=C(C#N)c1ccccc1
436,COC(=O)C(=[NH+][C-](C(C)=O)C(=O)OC)C(=O)OC
437,CC(=O)C(=[O+][NH-])C(C)=O
438,CC(=O)[C-](C)[N+](C)=C(C)C#N
439,[CH2-][N+](C)=C(C(=O)NC)c1ccccc1
440,CC(=O)C(C(C)=O)=[N+](C)[C-](C)C#N
441,CNC(=O)C(C(=O)NC)=[N+](C)[C-](c1ccccc1)c1ccccc1
442,CNC(=O)[C-]([O+]=C(C)C(=O)OC)C(=O)NC
