,dipole
308,C[N+](=C(C#N)c1ccccc1)[C-](C#N)c1ccccc1
309,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)OC)C(=O)OC
310,COC(=O)[C-](C#N)[N+](C)=C(C#N)C(C)=O
311,COC(=O)[C-]([O+]=C(C#N)C(C)=O)c1ccccc1
312,C[CH-][N+](C)=C(C(=O)NC)C(=O)OC
313,CC(=O)C(=[NH+][N-]C#N)C(C)=O
314,CNC(=O)[CH-][O+]=C(C)C(=O)NC
315,CNC(=O)C=[NH+][CH-]C#N
316,COC(=O)N=[N+](C)[N-]c1ccccc1
317,CC(=O)C(C)=[NH+][C-](C#N)C(C)=O
318,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C#N)C(=O)NC
319,CNC(=O)[C-]([NH+]=C(C(C)=O)C(=O)OC)C(=O)NC
320,COC(=O)[C-]([NH+]=C(C)C)C(C)=O
321,C[N-][O+]=Cc1ccccc1
322,C[CH-][NH+]=Cc1ccccc1
323,CNC(=O)C(=[NH+][N-]C(=O)OC)C(=O)NC
324,[CH2-][N+](C)=C(C#N)c1ccccc1
325,CC(C)=[O+][C-](C)c1ccccc1
326,C[N-][NH+]=C(c1ccccc1)c1ccccc1
327,CC(=O)C(c1ccccc1)=[N+](C)[CH-]c1ccccc1
328,CC(c1ccccc1)=[N+](C)[C-](C)C
329,CC(=O)C(c1ccccc1)=[N+](C)[C-](C)C(C)=O
330,CNC(=O)[C-](C)[O+]=C(C)C(C)=O
331,C[N+](=CC#N)[CH-]c1ccccc1
332,C[N-][O+]=CC(=O)OC
333,COC(=O)C=[NH+][C-](C#N)C#N
334,CC(=O)N=[NH+][N-]C#N
335,CC(=O)C(C)=[O+][N-]C#N
336,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(C)=O)C(=O)NC
337,CC(=O)C(C)=[N+](C)[C-](C#N)C#N
338,CNC(=O)[N-][NH+]=C(C(=O)OC)C(=O)OC
339,CNC(=O)[C-](C#N)[N+](C)=C(C(=O)OC)C(=O)OC
340,CNC(=O)[C-](C#N)[N+](C)=CC(=O)OC
341,C[N-][N+](C)=C(C(C)=O)c1ccccc1
342,CC(=O)[CH-][N+](C)=C(C)c1ccccc1
343,CC(=O)[C-](C(C)=O)[N+](C)=CC#N
344,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)OC)c1ccccc1
345,CC(=O)[C-](C)[N+](C)=Cc1ccccc1
346,CNC(=O)[C-](C(C)=O)[N+](C)=C(C#N)c1ccccc1
347,CNC(=O)C(C)=[NH+][C-](C(=O)NC)C(=O)NC
348,CC(C)=[N+](C)[NH-]
349,COC(=O)C(=[O+][C-](C)C)C(=O)OC
350,CNC(=O)C(C#N)=[NH+][N-]C(C)=O
351,CNC(=O)C=[N+](C)[C-](C(=O)NC)C(=O)NC
352,CNC(=O)C(C)=[O+][C-](C)C(C)=O
353,[CH2-][O+]=C(C#N)C(C)=O
354,CNC(=O)C(=[O+][C-](C#N)C(=O)NC)c1ccccc1
355,COC(=O)[N-][O+]=C(C(C)=O)C(C)=O
356,CNC(=O)C(C#N)=[N+](C)[N-]c1ccccc1
357,CNC(=O)[C-](C#N)[O+]=C(C#N)C(=O)OC
358,CC=[NH+][C-](C(=O)OC)C(=O)OC
359,CC=[O+][CH-]C(C)=O
360,CNC(=O)C(C#N)=[NH+][CH-]C(C)=O
361,CNC(=O)[CH-][NH+]=C(C#N)C(=O)NC
362,[CH2-][NH+]=C(C(C)=O)c1ccccc1
363,CNC(=O)C(C)=[O+][CH-]C(C)=O
364,CNC(=O)C(=[O+][N-]c1ccccc1)c1ccccc1
365,COC(=O)[N-][NH+]=NC#N
366,CNC(=O)C(C#N)=[O+][C-](C)C#N
367,COC(=O)[CH-][NH+]=C(c1ccccc1)c1ccccc1
368,COC(=O)C(=[O+][N-]c1ccccc1)c1ccccc1
369,CNC(=O)C(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
370,CNC(=O)C(C(C)=O)=[N+](C)[C-](c1ccccc1)c1ccccc1
371,COC(=O)C(=[NH+][C-](C#N)C(=O)OC)C(=O)OC
372,C[N+](=CC#N)[CH-]c1ccccc1
373,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C#N)C#N
374,CC(=O)C(=[O+][N-]C#N)C(C)=O
375,CNC(=O)[C-](C#N)[NH+]=C(C)C#N
376,COC(=O)[CH-][NH+]=C(C(C)=O)C(C)=O
377,CNC(=O)C(C(=O)OC)=[N+](C)[NH-]
378,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(=O)OC
379,C=[NH+][C-](C(C)=O)C(=O)OC
380,CC(C)=[O+][NH-]
381,C[N+]([N-]c1ccccc1)=C(C#N)C#N
382,COC(=O)C(=[O+][C-](C(=O)OC)C(=O)OC)C(=O)OC
383,COC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
384,CNC(=O)[C-](C#N)[NH+]=C(C#N)C(C)=O
385,C[N-][N+](C)=C(C#N)c1ccccc1
386,C[C-](C)[NH+]=C(C#N)C#N
387,CC=[N+](C)[NH-]
388,CNC(=O)C(C#N)=[O+][C-](c1ccccc1)c1ccccc1
389,CNC(=O)N=[NH+][N-]C(=O)OC
390,COC(=O)[N-][NH+]=C(C(C)=O)C(=O)OC
391,CNC(=O)C(=[O+][C-](C(C)=O)C(=O)OC)C(=O)NC
392,CNC(=O)[C-]([NH+]=C(C#N)C(=O)OC)C(C)=O
393,COC(=O)[CH-][O+]=C(C#N)C#N
394,COC(=O)C=[O+][CH-]C(=O)OC
395,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C#N)c1ccccc1
396,CNC(=O)C(=[O+][C-](C)C(=O)OC)c1ccccc1
397,CC(=O)C(=[NH+][CH-]C#N)C(C)=O
398,CC(=O)C(C)=[N+](C)[N-]C#N
399,CC(=O)[N-][NH+]=C(c1ccccc1)c1ccccc1
400,COC(=O)C(C#N)=[NH+][N-]C#N
401,CC(=O)C=[O+][CH-]C(C)=O
402,[CH2-][NH+]=C(C(=O)NC)C(=O)NC
403,C[CH-][NH+]=C(C#N)C(C)=O
404,COC(=O)[C-]([NH+]=C(C)c1ccccc1)C(C)=O
405,CNC(=O)C(=[O+][O-])C(=O)OC
406,C[CH-][O+]=C(C(C)=O)c1ccccc1
407,COC(=O)C(C)=[N+](C)[O-]
408,CC(=O)C=[NH+][C-](C(C)=O)C(C)=O
409,CC(=O)C(C)=[N+](C)[N-]c1ccccc1
410,CC=[NH+][N-]C(=O)NC
411,COC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)OC)c1ccccc1
412,CNC(=O)C=[NH+][C-](C(C)=O)C(=O)NC
413,CC(=O)[C-](C)[N+](C)=CC#N
414,CNC(=O)[C-]([O+]=C(C(C)=O)C(C)=O)c1ccccc1
415,COC(=O)C(c1ccccc1)=[N+](C)[CH-]C#N
416,C=[N+](C)[C-](C(=O)NC)C(=O)OC
417,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)OC)c1ccccc1
418,COC(=O)C(=[NH+][C-](C)C#N)C(C)=O
419,CNC(=O)[C-](C)[NH+]=C(C(C)=O)c1ccccc1
420,COC(=O)[N-][O+]=C(C)C(C)=O
421,CC(=O)[C-](C)[NH+]=CC#N
422,C[CH-][NH+]=C(C#N)c1ccccc1
423,COC(=O)[C-]([O+]=C(C)C#N)C(C)=O
424,CC=[N+](C)[C-](C(C)=O)C(C)=O
425,CNC(=O)C(C#N)=[NH+][C-](C(=O)NC)C(=O)NC
