,dipolarophile
360,C#CC(=O)OC
361,CC(=O)C#CC#N
362,CC#CC(=O)NC
363,COC(=O)C#CF
364,CNC(=O)C#CBr
365,COC#CCl
366,COC(=O)C#CF
367,C#CC(C)=O
368,C#CC
369,CNC(=O)C#CBr
370,CC(=O)C#Cc1ccccc1
371,C#CC
372,CC#CC(F)(F)F
373,COC(=O)C#CCl
374,CC(=O)C#CF
375,CC#CC
376,C(#Cc1ccccc1)c1ccccc1
377,CNC(=O)C#CC(C)=O
378,CC#CC#N
379,C#CC(=O)NC
380,N#CC#Cc1ccccc1
381,CNC(=O)C#CF
382,C#CC
383,COC(=O)C#CF
384,COC#CC#N
385,COC(=O)C#CBr
386,C#CC(=O)NC
387,COC(=O)C#CC(F)(F)F
388,COC(=O)C#CC(=O)OC
389,CC#CC(=O)NC
390,C#Cc1ccccc1
391,COC(=O)C#CBr
392,CC(=O)C#Cc1ccccc1
393,CC(=O)C#CC(C)=O
394,C#CC(=O)NC
395,CNC(=O)C#CF
396,COC(=O)C#CBr
397,COC(=O)C#CC(C)=O
398,COC(=O)C#CC(C)=O
399,COC(=O)C#CC#N
400,CC(=O)C1=C(F)C2CCC1C2
401,COC1=C(C#N)C2CCC1C2
402,CC1=CC2CCC1C2
403,CNC(=O)C1=C(OC)C2CCC1C2
404,CC1=C(C#N)C2CCC1C2
405,CC1=C(Br)C2CCC1C2
406,COC1=C(OC)C2CCC1C2
407,COC1=C(C)C2CCC1C2
408,CC(=O)C1=C(Br)C2CCC1C2
409,ClC1=C(Cl)C2CCC1C2
410,FC1=C(Br)C2CCC1C2
411,BrC1=C(Br)C2CCC1C2
412,N#CC1=C(F)C2CCC1C2
413,COC(=O)C1=CC2CCC1C2
414,COC(=O)C1=C(Br)C2CCC1C2
415,COC(=O)C1=C(C(C)=O)C2CCC1C2
416,COC(=O)C1=C(C#N)C2CCC1C2
417,CNC(=O)C1=C(OC)C2CCC1C2
418,CC(=O)C1=C(C)C2CCC1C2
419,CC1=C(c2ccccc2)C2CCC1C2
420,ClC1=C(Br)C2CCC1C2
421,COC(=O)C1=C(C#N)C2CCC1C2
422,COC1=C(Br)C2CCC1C2
423,CNC(=O)C1=C(C#N)C2CCC1C2
424,COC1=C(F)C2CCC1C2
425,C1=C(c2ccccc2)C2CCC1C2
426,COC1=C(F)C2CCC1C2
427,CC(=O)C1=C(C)C2CCC1C2
428,c1ccc(C2=C(c3ccccc3)C3CCC2C3)cc1
429,FC(F)(F)C1=CC2CCC1C2
430,CC(=O)C1=C(Br)C2CCC1C2
431,CNC(=O)C1=C(OC)C2CCC1C2
432,FC1=C(Cl)C2CCC1C2
433,FC(F)(F)C1=C(C(F)(F)F)C2CCC1C2
434,CC1=C(C#N)C2CCC1C2
435,CC1=CC2CCC1C2
436,ClC1=C(Br)C2CCC1C2
437,N#CC1=CC2CCC1C2
438,COC(=O)C1=C(OC)C2CCC1C2
439,FC(F)(F)C1=C(Cl)C2CCC1C2
440,COC(=O)C1=CC2CCC1C2
441,COC(=O)C1=C(C(=O)OC)C2CCC1C2
442,CNC(=O)C1=C(Br)C2CCC1C2
443,CC(=O)C1=CC2CCC1C2
444,N#CC1=C(c2ccccc2)C2CCC1C2
445,COC1=C(Cl)C2CCC1C2
446,CNC(=O)C1=C(C(C)=O)C2CCC1C2
447,N#CC1=C(C#N)C2CCC1C2
