,dipolarophile
231,CNC(=O)/C(C(C)=O)=C(\C(C)=O)C(=O)NC
232,COC(=O)C(Cl)=C(Cl)Cl
233,CC(=O)/C(=C(/C(C)=O)c1ccccc1)c1ccccc1
234,CC(=O)C(C(C)=O)=C(Br)Br
235,CO/C(=C(\OC)c1ccccc1)c1ccccc1
236,C/C(Cl)=C(\C)Cl
237,CO/C(C#N)=C(/C#N)OC
238,Cl/C(=C(\Cl)c1ccccc1)c1ccccc1
239,CNC(=O)/C(Br)=C(/Br)C(=O)NC
240,COC(=O)/C(C(C)=O)=C(\C(C)=O)C(=O)OC
241,CNC(=O)/C(=C(/C(=O)NC)C(F)(F)F)C(F)(F)F
242,CNC(=O)/C(C)=C(/C)C(=O)NC
243,CC(=O)C(C(C)=O)=C(Cl)Cl
244,FC(=C(c1ccccc1)c1ccccc1)c1ccccc1
245,C=CC(=O)NC
246,N#C/C(=C(/C#N)c1ccccc1)c1ccccc1
247,CO/C(=C(/OC)c1ccccc1)c1ccccc1
248,CNC(=O)C(Br)=C(C(=O)NC)C(=O)NC
249,CC(=O)C(C(C)=O)=C(C(C)=O)C(F)(F)F
250,CC(=O)C(C(C)=O)=C(C(F)(F)F)C(F)(F)F
251,FC(F)(F)C(=C(c1ccccc1)c1ccccc1)c1ccccc1
252,COC(=O)C(C(=O)OC)=C(C(=O)OC)c1ccccc1
253,CC(=O)/C(Br)=C(\Br)C(C)=O
254,CNC(=O)C(C(=O)NC)=C(C(=O)NC)C(F)(F)F
255,COC(=O)C#Cc1ccccc1
256,CNC(=O)C#CBr
257,CNC(=O)C#CCl
258,CNC(=O)C#CF
259,COC#CC(C)=O
260,COC#CCl
261,CNC(=O)C#CC#N
262,ClC#Cc1ccccc1
263,COC#CC#N
264,CC(=O)C#CC(C)=O
265,CC#CC(F)(F)F
266,COC#CC(=O)OC
267,CC#CCl
268,CNC(=O)C#CC(=O)NC
269,N#CC#Cc1ccccc1
270,COC(=O)C#CBr
271,CC#CC(=O)OC
272,CC#CF
273,CC(=O)C#CC(F)(F)F
274,CC#CC(C)=O
275,COC(=O)C#CF
276,CC#Cc1ccccc1
277,CNC(=O)C#CC(=O)OC
278,C(#Cc1ccccc1)c1ccccc1
279,C#Cc1ccccc1
280,CC#COC
281,CNC(=O)C#Cc1ccccc1
282,C#CC(C)=O
283,CNC(=O)C#COC
284,COC#CC(F)(F)F
285,C#CC
286,CC(=O)C#CBr
287,CC(=O)C#Cc1ccccc1
288,COC#Cc1ccccc1
289,C#CC(=O)NC
290,COC#CF
291,CNC(=O)C#CC(C)=O
292,CC#CBr
293,COC(=O)C#CCl
294,COC(=O)C#CC(=O)OC
295,C#COC
296,CC#CC
297,BrC#Cc1ccccc1
298,COC(=O)C#CC(C)=O
299,CC#CC#N
300,CC(=O)C#CC#N
301,CNC(=O)C#CC(F)(F)F
302,COC#COC
303,FC#Cc1ccccc1
304,CC#CC(=O)NC
305,CC(=O)C#CCl
306,C#CC(=O)OC
307,COC(=O)C#CC#N
308,FC(F)(F)C#Cc1ccccc1
309,CC(=O)C#CF
310,COC(=O)C#CC(F)(F)F
311,COC#CBr
312,COC(=O)C1=CC2CCC1C2
313,CNC(=O)C1=C(C(C)=O)C2CCC1C2
314,CC(=O)C1=C(C)C2CCC1C2
315,FC1=CC2CCC1C2
316,N#CC1=CC2CCC1C2
317,COC1=C(Cl)C2CCC1C2
318,ClC1=CC2CCC1C2
319,FC1=C(Br)C2CCC1C2
320,FC(F)(F)C1=CC2CCC1C2
321,COC1=C(Br)C2CCC1C2
322,COC(=O)C1=C(C(F)(F)F)C2CCC1C2
323,COC(=O)C1=C(Br)C2CCC1C2
324,CNC(=O)C1=C(c2ccccc2)C2CCC1C2
325,FC1=C(c2ccccc2)C2CCC1C2
326,CNC(=O)C1=C(F)C2CCC1C2
327,CC1=C(C#N)C2CCC1C2
328,c1ccc(C2=C(c3ccccc3)C3CCC2C3)cc1
329,CC1=C(Br)C2CCC1C2
330,COC1=C(F)C2CCC1C2
331,N#CC1=C(c2ccccc2)C2CCC1C2
332,CC(=O)C1=C(c2ccccc2)C2CCC1C2
333,FC(F)(F)C1=C(C(F)(F)F)C2CCC1C2
334,N#CC1=C(C#N)C2CCC1C2
335,FC(F)(F)C1=C(Br)C2CCC1C2
336,CC(=O)C1=C(Cl)C2CCC1C2
337,CNC(=O)C1=C(C(=O)OC)C2CCC1C2
338,CNC(=O)C1=C(C(F)(F)F)C2CCC1C2
339,CNC(=O)C1=C(OC)C2CCC1C2
